dataset,split_seed,historical_people,historical_keys,identity_axis_sd,key_axis_sd,test_people,key_draws,assumed_mean_tar_change,variance_multiplier,tail_alpha,margin,proxy_standard_error,normal_one_sided_half_width,normal_approximation_tar_power
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,0.0,1.0,0.016666666666666666,0.03,0.012539998531107533,0.026685684110810085,0.6042254440542082
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,0.0,2.0,0.016666666666666666,0.03,0.01773423599483096,0.03773925639071183,0.33127253723641004
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,-0.01,1.0,0.016666666666666666,0.03,0.012539998531107533,0.026685684110810085,0.2969653194252928
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,-0.01,2.0,0.016666666666666666,0.03,0.01773423599483096,0.03773925639071183,0.15858676398459037
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,-0.02,1.0,0.016666666666666666,0.03,0.012539998531107533,0.026685684110810085,0.09166082921178886
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,12,-0.02,2.0,0.016666666666666666,0.03,0.01773423599483096,0.03773925639071183,0.058889510513171706
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,0.0,1.0,0.016666666666666666,0.03,0.010888047364995188,0.023170257304658385,0.7347587840017025
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,0.0,2.0,0.016666666666666666,0.03,0.015398024251336835,0.03276769212392216,0.4286770382570473
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,-0.01,1.0,0.016666666666666666,0.03,0.010888047364995188,0.023170257304658385,0.3854611952521885
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,-0.01,2.0,0.016666666666666666,0.03,0.015398024251336835,0.03276769212392216,0.20350204489646645
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,-0.02,1.0,0.016666666666666666,0.03,0.010888047364995188,0.023170257304658385,0.11321488312002659
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,24,-0.02,2.0,0.016666666666666666,0.03,0.015398024251336835,0.03276769212392216,0.0696221200515067
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,0.0,1.0,0.016666666666666666,0.03,0.009959848470407493,0.021195008070655268,0.8116650605967578
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,0.0,2.0,0.016666666666666666,0.03,0.0140853527860312,0.029974267868127884,0.5007288159419511
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,-0.01,1.0,0.016666666666666666,0.03,0.009959848470407493,0.021195008070655268,0.4522484834562992
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,-0.01,2.0,0.016666666666666666,0.03,0.0140853527860312,0.029974267868127884,0.23943211127370395
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,-0.02,1.0,0.016666666666666666,0.03,0.009959848470407493,0.021195008070655268,0.1305035657035321
MOBIO,93083,30,12,0.05651463091433165,0.030477002899025517,40,48,-0.02,2.0,0.016666666666666666,0.03,0.0140853527860312,0.029974267868127884,0.07808255676002468
