condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_1,1,0.706667,0.731667,0.020207,0.979407,0.076146,0.520000,0.910000
random_key_pool_2,2,0.373333,0.631667,0.040415,0.949879,0.123333,0.410000,0.845000
random_key_pool_3,3,0.238333,0.625000,0.081854,0.960169,0.110660,0.355000,0.855000
random_key_pool_4,4,0.168333,0.425000,0.067639,0.862164,0.232882,0.195000,0.690000
random_key_pool_5,5,0.115000,0.410000,0.017321,0.864324,0.203333,0.225000,0.620125
random_key_pool_7,7,0.116667,0.320000,0.039686,0.775778,0.310174,0.130000,0.515000
random_key_pool_10,10,0.043333,0.253333,0.097767,0.791864,0.280174,0.040000,0.520125
independent_unseen_keys,1500,0.046667,0.040000,0.000000,0.504875,0.495243,0.000000,0.120000
