stage,dataset,scheme,split_seed,chance,condition,exposures,model,model_seeds,identity_clusters,top1_mean,seed_sd,lower95,upper95
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,1,single_mlp,3,30,0.02361111111111111,0.004811252243246882,0.0,0.06111111111111111
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,10,mean_mlp,3,30,0.03194444444444444,0.031273139581104725,0.0,0.10697916666666647
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,10,deepsets,3,30,0.030555555555555555,0.00481125224324688,0.0,0.1
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,1,single_mlp,3,30,0.9972222222222222,0.004811252243246865,0.9875,1.0
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,10,mean_mlp,3,30,1.0,0.0,1.0,1.0
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,10,deepsets,3,30,0.9319444444444445,0.033420026154211004,0.8333333333333334,1.0
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,1,single_mlp,3,30,0.5680555555555555,0.04683254250024264,0.4610763888888889,0.6694444444444444
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,10,mean_mlp,3,30,0.9416666666666667,0.014433756729740593,0.8611111111111112,0.9958333333333333
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,10,deepsets,3,30,0.6972222222222222,0.11105033059800376,0.5111111111111111,0.8541666666666666
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,1,single_mlp,3,30,0.030555555555555555,0.006364688465216443,0.008333333333333333,0.0625
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,10,mean_mlp,3,30,0.03333333333333333,0.0,0.0,0.08888888888888889
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,10,deepsets,3,30,0.03333333333333333,0.0,0.0,0.1
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,1,single_mlp,3,30,0.9888888888888889,0.006364688465216471,0.9722222222222222,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,10,mean_mlp,3,30,1.0,0.0,1.0,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,10,deepsets,3,30,0.9472222222222222,0.027743033826997436,0.8625,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,1,single_mlp,3,30,0.5361111111111111,0.055486067653994935,0.43333333333333335,0.6417013888888887
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,10,mean_mlp,3,30,0.9444444444444444,0.012729376930432905,0.8625,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,10,deepsets,3,30,0.6444444444444445,0.13387476873445464,0.45555555555555555,0.8263888888888888
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,1,single_mlp,3,30,0.041666666666666664,0.004166666666666666,0.0,0.10694444444444444
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,10,mean_mlp,3,30,0.030555555555555555,0.010485881160098263,0.0,0.08336805555555536
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,10,deepsets,3,30,0.03333333333333333,0.0,0.0,0.1
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,1,single_mlp,3,30,0.9833333333333333,0.012500000000000011,0.9527777777777777,1.0
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,10,mean_mlp,3,30,0.8763888888888889,0.01339395939026801,0.7694444444444445,0.9625
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,10,deepsets,3,30,0.7416666666666667,0.058333333333333355,0.5916666666666667,0.8666666666666667
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,1,single_mlp,3,30,0.5,0.014433756729740626,0.3972222222222222,0.6041666666666666
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,10,mean_mlp,3,30,0.7125,0.06934715407122181,0.5611111111111111,0.8458333333333333
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,10,deepsets,3,30,0.6833333333333333,0.09798313346920706,0.5305555555555556,0.8388888888888889
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,1,single_mlp,3,30,0.034722222222222224,0.01272937693043289,0.0,0.10694444444444444
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,10,mean_mlp,3,30,0.0375,0.01502313031443329,0.0,0.1111111111111111
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,10,deepsets,3,30,0.03333333333333333,0.0,0.0,0.1
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,1,single_mlp,3,30,0.9916666666666667,0.004166666666666652,0.9763888888888889,1.0
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,10,mean_mlp,3,30,0.8902777777777777,0.01339395939026801,0.775,0.9778124999999998
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,10,deepsets,3,30,0.7430555555555556,0.1223563027179835,0.5583333333333333,0.9
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,1,single_mlp,3,30,0.43194444444444446,0.055014728667606524,0.3360416666666667,0.525
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,10,mean_mlp,3,30,0.725,0.09418878796214429,0.5666319444444444,0.8666666666666667
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_4,10,deepsets,3,30,0.7166666666666667,0.02083333333333337,0.5722222222222222,0.8444444444444444
