stage,dataset,split_seed,scheme,condition,exposures,model,seed,estimate,lower,upper,confidence,resamples,identity_clusters,margin,interval_within_margin,analysis
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.01875,-0.025,-0.00625,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.01875,-0.025,-0.00625,0.9,2000,40,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.009375000000000003,-0.025,0.009374999999999998,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.009375000000000003,-0.025,0.009374999999999998,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.009375000000000003,-0.025,0.009374999999999998,0.9,2000,40,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.021875,0.0125,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.021875,0.0125,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.006250000000000003,-0.021875,0.0125,0.9,2000,40,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91831,IoM-GRP,independent_unseen_keys,10,deepsets,91223,-2.7755575615628915e-18,-0.025,0.05,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.004166666666666664,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.004166666666666664,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.004166666666666664,-0.03333333333333333,0.03333333333333332,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.008333333333333333,-0.025,0.012500000000000004,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.008333333333333333,-0.025,0.012500000000000004,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,-0.008333333333333333,-0.025,0.012500000000000004,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.020833333333333332,0.03333333333333333,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.020833333333333332,0.03333333333333333,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.004166666666666668,-0.020833333333333332,0.03333333333333333,0.9,2000,30,0.05,True,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.312964634635743e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.312964634635743e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-2.312964634635743e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,mean_mlp,91223,-4.625929269271486e-19,-0.03333333333333333,0.06666666666666668,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,MOBIO,91843,IoM-GRP,independent_unseen_keys,10,deepsets,91223,3.23815048849004e-18,-0.03333333333333333,0.0666666666666667,0.9,2000,30,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.015624999999999995,-0.021875,0.059531249999999855,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.015624999999999995,-0.021875,0.059531249999999855,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.015624999999999995,-0.021875,0.059531249999999855,0.9,2000,40,0.05,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.006249999999999994,-0.021875,0.04374999999999999,0.9,2000,40,0.01,False,exploratory 90% interval containment; not confirmatory equivalence
bounded_validation,FEI,91843,IoM-GRP,independent_unseen_keys,1,single_mlp,91223,0.006249999999999994,-0.021875,0.04374999999999999,0.9,2000,40,0.02,False,exploratory 90% interval containment; not confirmatory equivalence
