condition,unique_keys,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
system_key_pool_1,1,0.663889,0.014633,0.969204,0.104310,0.487500,0.833333
system_key_pool_2,2,0.611111,0.100462,0.963859,0.098755,0.350000,0.858333
system_key_pool_5,5,0.476389,0.062546,0.935129,0.148539,0.249896,0.687500
system_key_pool_10,10,0.338889,0.047932,0.904297,0.160800,0.150000,0.533333
independent_unseen_keys,1799,0.029167,0.007217,0.499139,0.497653,0.000000,0.100000
