condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_3,3,0.058333,0.563889,0.094495,0.936157,0.135010,0.337500,0.829271
random_key_pool_4,4,0.054167,0.519444,0.010486,0.945260,0.119157,0.350000,0.691667
random_key_pool_5,5,0.048611,0.080556,0.030142,0.636236,0.386853,0.000000,0.208333
random_key_pool_6,6,0.045833,0.086111,0.027743,0.605007,0.411135,0.000000,0.233333
random_key_pool_7,7,0.056944,0.088889,0.012729,0.593610,0.434650,0.000000,0.212500
random_key_pool_8,8,0.030556,0.038889,0.025459,0.626000,0.395785,0.000000,0.158333
random_key_pool_9,9,0.047222,0.066667,0.033333,0.573857,0.437620,0.000000,0.208333
independent_unseen_keys,1799,0.037500,0.044444,0.050918,0.504251,0.502754,0.000000,0.200000
