condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_3,3,0.223611,0.486111,0.042763,0.926187,0.149425,0.283333,0.700000
random_key_pool_4,4,0.076389,0.486111,0.095864,0.934657,0.137476,0.237396,0.745833
random_key_pool_5,5,0.063889,0.402778,0.018789,0.890889,0.187596,0.237500,0.591667
random_key_pool_6,6,0.063889,0.363889,0.028362,0.841103,0.232399,0.195729,0.550000
random_key_pool_7,7,0.050000,0.304167,0.154841,0.792764,0.268032,0.041667,0.604167
random_key_pool_8,8,0.031944,0.141667,0.141114,0.658525,0.385752,0.000000,0.458333
random_key_pool_9,9,0.025000,0.063889,0.048829,0.559376,0.445163,0.000000,0.233333
independent_unseen_keys,1799,0.023611,0.015278,0.016839,0.496098,0.508166,0.000000,0.100000
