condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_1,1,0.520833,0.713889,0.082741,0.976924,0.077203,0.483333,0.933333
random_key_pool_2,2,0.336111,0.688889,0.128042,0.975101,0.084028,0.416667,0.937500
random_key_pool_5,5,0.044444,0.229167,0.199348,0.774192,0.283046,0.000000,0.537604
random_key_pool_10,10,0.045833,0.019444,0.014633,0.505636,0.494013,0.000000,0.100000
independent_unseen_keys,1799,0.029167,0.030556,0.004811,0.494530,0.501940,0.000000,0.100000
