condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_3,3,0.275000,0.650000,0.071200,0.961003,0.119181,0.395833,0.862500
random_key_pool_4,4,0.034722,0.540278,0.046460,0.931472,0.138625,0.324896,0.737500
random_key_pool_6,6,0.034722,0.173611,0.181637,0.692355,0.369301,0.000000,0.545937
random_key_pool_7,7,0.041667,0.344444,0.037345,0.893122,0.191547,0.183229,0.558333
random_key_pool_8,8,0.040278,0.104167,0.115545,0.643204,0.382232,0.000000,0.375000
random_key_pool_9,9,0.031944,0.038889,0.013394,0.557993,0.454574,0.000000,0.141667
independent_unseen_keys,1799,0.031944,0.055556,0.019245,0.498421,0.512476,0.000000,0.166667
