dataset,split_seed,arm,scheme,key_seeds,chance,top1,lower95,upper95,permutation_p,null_mean,linear_only_top1,holm_p
MOBIO,91831,unit,PolyProtect,3,0.03333333333333333,0.12424242424242422,0.10808080808080807,0.1404040404040404,0.0002,0.03337778666844479,0.12525252525252525,0.0032
MOBIO,91831,raw,PolyProtect,3,0.03333333333333333,0.16464646464646462,0.13737373737373734,0.19494949494949493,0.0002,0.0333444466671112,0.12525252525252525,0.0032
MOBIO,91831,norm_shuffled,PolyProtect,3,0.03333333333333333,0.17070707070707067,0.1434343434343434,0.202020202020202,0.0002,0.033326463272452464,0.12525252525252525,0.0032
MOBIO,91831,fixed_radius,PolyProtect,3,0.03333333333333333,0.17171717171717168,0.14444444444444443,0.203030303030303,0.0002,0.03331555199928874,0.12525252525252525,0.0032
MOBIO,91843,unit,PolyProtect,3,0.03333333333333333,0.122020202020202,0.09999999999999996,0.14383838383838382,0.0002,0.03337621059565449,0.11898989898989898,0.0032
MOBIO,91843,raw,PolyProtect,3,0.03333333333333333,0.16656565656565653,0.140300505050505,0.1938383838383838,0.0002,0.03324832643296336,0.11898989898989898,0.0032
MOBIO,91843,norm_shuffled,PolyProtect,3,0.03333333333333333,0.16050505050505048,0.13737373737373734,0.18474747474747472,0.0002,0.03324270914789018,0.11898989898989898,0.0032
MOBIO,91843,fixed_radius,PolyProtect,3,0.03333333333333333,0.16454545454545452,0.13929292929292927,0.19171969696969696,0.0002,0.03323569764457942,0.11898989898989898,0.0032
FEI,91831,unit,PolyProtect,3,0.025,0.1112121212121212,0.09659090909090909,0.1261382575757576,0.0002,0.02514592312401874,0.10742424242424242,0.0032
FEI,91831,raw,PolyProtect,3,0.025,0.15583333333333332,0.1367405303030303,0.17674242424242423,0.0002,0.02509401880376075,0.10742424242424242,0.0032
FEI,91831,norm_shuffled,PolyProtect,3,0.025,0.1549242424242424,0.1361344696969697,0.1758352272727273,0.0002,0.025077985294028503,0.10742424242424242,0.0032
FEI,91831,fixed_radius,PolyProtect,3,0.025,0.16030303030303028,0.13992424242424242,0.18220075757575757,0.0002,0.025080394866852155,0.10742424242424242,0.0032
FEI,91843,unit,PolyProtect,3,0.025,0.11090909090909089,0.09181818181818183,0.131969696969697,0.0002,0.02503006661938448,0.10696969696969698,0.0032
FEI,91843,raw,PolyProtect,3,0.025,0.16007575757575757,0.1418181818181818,0.17916666666666664,0.0002,0.025090260476337695,0.10696969696969698,0.0032
FEI,91843,norm_shuffled,PolyProtect,3,0.025,0.16159090909090906,0.1427253787878788,0.18143939393939393,0.0002,0.025105536258766905,0.10696969696969698,0.0032
FEI,91843,fixed_radius,PolyProtect,3,0.025,0.16234848484848483,0.1440909090909091,0.18075757575757576,0.0002,0.02508715379439524,0.10696969696969698,0.0032
