dataset,split_seed,contrast,gain,lower95,upper95,signflip_p,holm_p
MOBIO,91831,raw_minus_unit,0.04040404040404041,0.0101010101010101,0.07373737373737373,0.0276,0.138
MOBIO,91831,raw_minus_norm_shuffled,-0.0060606060606060615,-0.013131313131313133,0.0010101010101010105,0.1896,0.7584
MOBIO,91843,raw_minus_unit,0.04454545454545455,0.01323232323232324,0.07696969696969697,0.0172,0.1032
MOBIO,91843,raw_minus_norm_shuffled,0.006060606060606067,-0.00202020202020201,0.014141414141414147,0.2452,0.7584
FEI,91831,raw_minus_unit,0.04462121212121213,0.019545454545454546,0.07038068181818183,0.002,0.016
FEI,91831,raw_minus_norm_shuffled,0.0009090909090909097,-0.005151515151515152,0.007045454545454545,0.7056,1.0
FEI,91843,raw_minus_unit,0.04916666666666667,0.021060606060606068,0.07681818181818181,0.0024,0.0168
FEI,91843,raw_minus_norm_shuffled,-0.0015151515151515158,-0.007594696969696967,0.004545454545454546,0.8308,1.0
