dataset,split_seed,chance,top1,lower95,upper95,permutation_p,interpretation,holm_p
MOBIO,91831,0.03333333333333333,0.0606060606060606,0.024242424242424242,0.10303030303030301,0.0318,"raw source norm oracle, not protected-template attack",0.09540000000000001
MOBIO,91843,0.03333333333333333,0.0606060606060606,0.0303030303030303,0.09696969696969694,0.021,"raw source norm oracle, not protected-template attack",0.084
FEI,91831,0.025,0.01840909090909091,0.006818181818181818,0.03205113636363639,0.7648,"raw source norm oracle, not protected-template attack",0.7648
FEI,91843,0.025,0.036590909090909084,0.011590909090909093,0.07272727272727272,0.1406,"raw source norm oracle, not protected-template attack",0.2812
