dataset,scheme,split_seed,condition,model,gain,lower95,upper95,seed_gain_min,seed_gain_max,leave_one_seed_out_min,identities_with_positive_mean_gain,identity_clusters,signflip_p,analysis,holm_p
MOBIO,IoM-GRP,91831,independent_unseen_keys,mean_mlp,0.008333333333333333,-0.03333333333333333,0.06388888888888888,-0.029166666666666667,0.041666666666666664,-0.008333333333333333,2,30,0.7444,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91831,independent_unseen_keys,deepsets,0.006944444444444444,-0.022222222222222223,0.0375,-0.004166666666666667,0.0125,0.0041666666666666675,2,30,0.7572,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91831,random_key_pool_1,mean_mlp,0.002777777777777778,0.0,0.0125,0.0,0.008333333333333333,0.0,2,30,0.488,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91831,random_key_pool_1,deepsets,-0.06527777777777778,-0.15833333333333333,0.0,-0.1,-0.025,-0.08541666666666667,0,30,0.118,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91831,random_key_pool_4,mean_mlp,0.3736111111111111,0.2625,0.4791666666666667,0.31666666666666665,0.43333333333333335,0.34375,28,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,IoM-GRP,91831,random_key_pool_4,deepsets,0.12916666666666668,-0.04027777777777778,0.29444444444444445,-0.008333333333333333,0.225,0.08125,20,30,0.02,post_hoc_two_sided_family_48; original_primary_unchanged,0.6
MOBIO,IoM-GRP,91843,independent_unseen_keys,mean_mlp,0.002777777777777778,-0.041666666666666664,0.05694444444444444,-0.004166666666666667,0.008333333333333333,0.0,3,30,0.9396,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91843,independent_unseen_keys,deepsets,0.002777777777777778,-0.05138888888888889,0.07916666666666666,-0.004166666666666667,0.008333333333333333,0.0,1,30,0.996,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91843,random_key_pool_1,mean_mlp,0.011111111111111112,0.0,0.027777777777777776,0.004166666666666667,0.016666666666666666,0.008333333333333333,4,30,0.1192,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91843,random_key_pool_1,deepsets,-0.041666666666666664,-0.11666666666666667,0.006944444444444444,-0.058333333333333334,-0.016666666666666666,-0.05416666666666667,2,30,0.4224,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,IoM-GRP,91843,random_key_pool_4,mean_mlp,0.4083333333333333,0.31805555555555554,0.5041666666666667,0.35833333333333334,0.43333333333333335,0.39583333333333337,29,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,IoM-GRP,91843,random_key_pool_4,deepsets,0.10833333333333334,-0.0375,0.24166666666666667,0.004166666666666667,0.17083333333333334,0.07708333333333334,21,30,0.0324,post_hoc_two_sided_family_48; original_primary_unchanged,0.8747999999999999
MOBIO,PolyProtect,91831,independent_unseen_keys,mean_mlp,-0.011111111111111112,-0.041666666666666664,0.0125,-0.020833333333333332,0.004166666666666667,-0.01875,2,30,0.5116,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,PolyProtect,91831,independent_unseen_keys,deepsets,-0.008333333333333333,-0.05555555555555555,0.034722222222222224,-0.0125,-0.004166666666666667,-0.010416666666666668,1,30,0.7572,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,PolyProtect,91831,random_key_pool_1,mean_mlp,-0.10694444444444444,-0.20416666666666666,-0.031909722222222096,-0.12916666666666668,-0.09166666666666666,-0.11458333333333334,0,30,0.0036,post_hoc_two_sided_family_48; original_primary_unchanged,0.126
MOBIO,PolyProtect,91831,random_key_pool_1,deepsets,-0.24166666666666667,-0.39305555555555555,-0.11666666666666667,-0.2791666666666667,-0.175,-0.275,0,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,PolyProtect,91831,random_key_pool_4,mean_mlp,0.2125,0.08329861111111111,0.33753472222222236,0.175,0.2833333333333333,0.17708333333333331,21,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,PolyProtect,91831,random_key_pool_4,deepsets,0.18333333333333332,0.020798611111111122,0.35555555555555557,0.0625,0.26666666666666666,0.14166666666666666,20,30,0.0092,post_hoc_two_sided_family_48; original_primary_unchanged,0.3036
MOBIO,PolyProtect,91843,independent_unseen_keys,mean_mlp,0.002777777777777778,-0.016666666666666666,0.02638888888888889,-0.0125,0.0125,-0.0020833333333333337,2,30,0.7448,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,PolyProtect,91843,independent_unseen_keys,deepsets,-0.001388888888888889,-0.020833333333333332,0.025,-0.0125,0.0125,-0.008333333333333333,1,30,0.9992,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,PolyProtect,91843,random_key_pool_1,mean_mlp,-0.10138888888888889,-0.2111111111111111,-0.018055555555555554,-0.1125,-0.09583333333333334,-0.10416666666666667,2,30,0.0576,post_hoc_two_sided_family_48; original_primary_unchanged,1.0
MOBIO,PolyProtect,91843,random_key_pool_1,deepsets,-0.24861111111111112,-0.41944444444444445,-0.09444444444444444,-0.3541666666666667,-0.12083333333333333,-0.3125,1,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,PolyProtect,91843,random_key_pool_4,mean_mlp,0.29305555555555557,0.08333333333333333,0.4722222222222222,0.12916666666666668,0.38333333333333336,0.24791666666666667,24,30,0.0004,post_hoc_two_sided_family_48; original_primary_unchanged,0.019200000000000002
MOBIO,PolyProtect,91843,random_key_pool_4,deepsets,0.2847222222222222,0.1221875,0.44166666666666665,0.24583333333333332,0.3333333333333333,0.2604166666666667,22,30,0.0016,post_hoc_two_sided_family_48; original_primary_unchanged,0.057600000000000005
