dataset,records,normalization_max_abs_error,raw_norm_min,raw_norm_median,raw_norm_max,raw_embeddings_sha256,saved_unit_sha256,metadata_sha256,recognition_sha256,detection_sha256
MOBIO,1799,2.9802322387695312e-08,14.995628356933594,23.086639404296875,28.52885627746582,bbd1ee1d79530aa378754eb5518897a7016ee288fbdcb251e24ce385efbc58f0,b6af0e9005fbd23c84914449e20e526118363df262f42fbbc386a725e1a77dc6,2cd72bf9f7cf53488eeae6442a920908a097039cf056ca7da6d418765d8cc83e,4c06341c33c2ca1f86781dab0e829f88ad5b64be9fba56e56bc9ebdefc619e43,8f2383e4dd3cfbb4553ea8718107fc0423210dc964f9f4280604804ed2552fa4
FEI,2378,2.9802322387695312e-08,17.44364356994629,21.475786209106445,25.967483520507812,2382ce8cc98c5ce4b2673cc6169983ce5c541722ef5c6fa2028970956fd53e07,0e25a58e917ab03769ce200df69357d3752c48cd6fcc6e0c952171b4aecb3073,e1d7015632d7e7cf9d31fde00752e26cd8d326c3711c53a5445c804a87688da2,4c06341c33c2ca1f86781dab0e829f88ad5b64be9fba56e56bc9ebdefc619e43,8f2383e4dd3cfbb4553ea8718107fc0423210dc964f9f4280604804ed2552fa4
