"condition","unique_keys","one_record_top1_mean","top1_mean","top1_std","auroc_mean","eer_mean","minimum_clustered_lower","maximum_clustered_upper"
"random_key_pool_1","1","0.407051282051282","0.815705128205128","0.0137857776715427","0.953338880670612","0.0943910256410256","0.668269230769231","0.942307692307692"
"random_key_pool_2","2","0.224358974358974","0.610576923076923","0.0296366057835047","0.91484159270217","0.162660256410256","0.413341346153846","0.783653846153846"
"random_key_pool_3","3","0.0528846153846154","0.331730769230769","0.0510310363079829","0.835517443293885","0.22650641025641","0.139423076923077","0.533653846153846"
"random_key_pool_4","4","0.0400641025641026","0.205128205128205","0.120181623456748","0.733638436883629","0.308333333333333","0","0.456730769230769"
"random_key_pool_5","5","0.0512820512820513","0.0592948717948718","0.00987886859450156","0.564715853057199","0.447435897435897","0","0.182692307692308"
"random_key_pool_7","7","0.0416666666666667","0.0192307692307692","0.0135982073305105","0.534791666666667","0.467467948717949","0","0.0721153846153846"
"random_key_pool_10","10","0.032051282051282","0.030448717948718","0.00453273577683684","0.522257149901381","0.491666666666667","0","0.100961538461538"
"independent_unseen_keys","2851","0.0432692307692308","0.0384615384615385","0","0.502080559664694","0.494583333333333","0","0.115384615384615"
