dataset,template_bits,chance_top1,independent_top1_mean,independent_top1_std,independent_auroc_mean,independent_eer_mean
LFW funneled 60-identity YuNet,64,0.08333333333333333,0.06666666666666667,0.016666666666666663,0.4828282828282828,0.5128787878787878
LFW funneled 60-identity YuNet,128,0.08333333333333333,0.06666666666666667,0.028867513459481287,0.4961531986531986,0.5123737373737374
LFW funneled 60-identity YuNet,256,0.08333333333333333,0.07222222222222223,0.034694433324435545,0.48180976430976435,0.4992424242424242
Olivetti faces,64,0.125,0.12037037037037036,0.02891202777036296,0.5038947677836566,0.47784391534391535
Olivetti faces,128,0.125,0.11574074074074074,0.016037507477489603,0.49689520870076426,0.4990079365079365
Olivetti faces,256,0.125,0.10648148148148147,0.02121562821738815,0.4866163286302175,0.5072751322751322
