study,condition,factorial_cells,model_runs_per_cell,chance_top1,cell_top1_mean,cell_top1_std,cell_top1_min,cell_top1_max,all_run_clustered_intervals_include_chance
cfp_frontal,independent_unseen_keys,9,3,0.01,0.009670781893004115,0.0010384323358802918,0.008148148148148147,0.011111111111111112,True
cfp_frontal,shared_key_calibration,9,3,0.01,0.9357201646090536,0.012122362978993943,0.9170370370370371,0.9474074074074075,False
lfw_large,independent_unseen_keys,9,3,0.03333333333333333,0.03141289437585734,0.0030932708597475106,0.025925925925925925,0.03580246913580246,True
lfw_large,shared_key_calibration,9,3,0.03333333333333333,0.7358024691358024,0.03823674238505824,0.665432098765432,0.774074074074074,False
