study,identity_split_seed,key_seed,condition,model_runs,chance_top1,top1_mean,top1_std,top1_min,top1_max,auroc_mean,eer_mean,all_clustered_intervals_include_chance
cfp_frontal,20260826,20260826,independent_unseen_keys,3,0.01,0.011111111111111112,0.0011111111111111113,0.01,0.012222222222222223,0.49978831525127815,0.49935839880284333,True
cfp_frontal,20260826,20260826,shared_key_calibration,3,0.01,0.9281481481481482,0.0023129622216290424,0.9255555555555556,0.93,0.9973110113480484,0.02189487467265244,False
cfp_frontal,20260826,20260827,independent_unseen_keys,3,0.01,0.01074074074074074,0.0016972502573910522,0.008888888888888889,0.012222222222222223,0.49984309348630335,0.4974429479985036,True
cfp_frontal,20260826,20260827,shared_key_calibration,3,0.01,0.9170370370370371,0.004625924443258102,0.9133333333333333,0.9222222222222223,0.9965377520056533,0.02662364384586605,False
cfp_frontal,20260826,20260828,independent_unseen_keys,3,0.01,0.01,0.0019245008972987529,0.008888888888888889,0.012222222222222223,0.499766745645758,0.4983239805462028,True
cfp_frontal,20260826,20260828,shared_key_calibration,3,0.01,0.918148148148148,0.007229341220719698,0.9111111111111111,0.9255555555555556,0.9967977844286487,0.026651702207257755,False
cfp_frontal,20260827,20260826,independent_unseen_keys,3,0.01,0.009259259259259259,0.0006415002990995843,0.008888888888888889,0.01,0.5022308600407366,0.4983370744481856,True
cfp_frontal,20260827,20260826,shared_key_calibration,3,0.01,0.9418518518518518,0.005010277503136553,0.9366666666666666,0.9466666666666667,0.9973579664962381,0.023307145529367763,False
cfp_frontal,20260827,20260827,independent_unseen_keys,3,0.01,0.008148148148148147,0.0023129622216290363,0.005555555555555556,0.01,0.5002002909755996,0.505031799476244,True
cfp_frontal,20260827,20260827,shared_key_calibration,3,0.01,0.9444444444444445,0.007698003589194996,0.9355555555555556,0.9488888888888889,0.9982752837012097,0.01799663299663299,False
cfp_frontal,20260827,20260828,independent_unseen_keys,3,0.01,0.009259259259259259,0.0006415002990995843,0.008888888888888889,0.01,0.49977101883027814,0.4993658810325477,True
cfp_frontal,20260827,20260828,shared_key_calibration,3,0.01,0.932962962962963,0.006119522830317853,0.9288888888888889,0.94,0.9980713680009977,0.021928544706322477,False
cfp_frontal,20260828,20260826,independent_unseen_keys,3,0.01,0.01074074074074074,0.0012830005981991687,0.01,0.012222222222222223,0.5003325352288316,0.5017134306023195,True
cfp_frontal,20260828,20260826,shared_key_calibration,3,0.01,0.9466666666666667,0.0019245008972987971,0.9444444444444444,0.9477777777777778,0.9977270357899988,0.017680508791619903,False
cfp_frontal,20260828,20260827,independent_unseen_keys,3,0.01,0.008518518518518517,0.0006415002990995843,0.0077777777777777776,0.008888888888888889,0.49852753460531235,0.4995604190048635,True
cfp_frontal,20260828,20260827,shared_key_calibration,3,0.01,0.9448148148148148,0.002796234976026251,0.9422222222222222,0.9477777777777778,0.9982237061977802,0.017358772914328482,False
cfp_frontal,20260828,20260828,independent_unseen_keys,3,0.01,0.009259259259259259,0.0016972502573910522,0.0077777777777777776,0.011111111111111112,0.49979839547740784,0.5010512532734754,True
cfp_frontal,20260828,20260828,shared_key_calibration,3,0.01,0.9474074074074075,0.0027962349760262,0.9444444444444444,0.95,0.9987672153635115,0.01664796109240556,False
lfw_large,20260826,20260826,independent_unseen_keys,3,0.03333333333333333,0.0308641975308642,0.0021383343303319462,0.02962962962962963,0.03333333333333333,0.49988253472714944,0.5005959982971477,True
lfw_large,20260826,20260826,shared_key_calibration,3,0.03333333333333333,0.7617283950617284,0.011905741680238243,0.7481481481481481,0.7703703703703704,0.9771510335367296,0.0840570455512984,False
lfw_large,20260826,20260827,independent_unseen_keys,3,0.03333333333333333,0.03209876543209877,0.0021383343303319462,0.02962962962962963,0.03333333333333333,0.5002347728741938,0.49682843763303536,True
lfw_large,20260826,20260827,shared_key_calibration,3,0.03333333333333333,0.7012345679012345,0.049320949025773254,0.6444444444444445,0.7333333333333333,0.9595791747473315,0.10928054491272883,False
lfw_large,20260826,20260828,independent_unseen_keys,3,0.03333333333333333,0.0345679012345679,0.0021383343303319462,0.03333333333333333,0.037037037037037035,0.49933509925421377,0.5025542784163474,True
lfw_large,20260826,20260828,shared_key_calibration,3,0.03333333333333333,0.6987654320987655,0.03016491783424838,0.6777777777777778,0.7333333333333333,0.95265093105025,0.11632609621115368,False
lfw_large,20260827,20260826,independent_unseen_keys,3,0.03333333333333333,0.03209876543209877,0.0042766686606638925,0.02962962962962963,0.037037037037037035,0.4973520647083865,0.5033844189016603,True
