protocol,dataset,samples,gallery_identities,probes,chance_top1,unprotected_top1,unprotected_eer,fixed_top1_mean,fixed_top1_std,independent_top1_mean,independent_top1_std,independent_auroc_mean,independent_auroc_std,independent_eer_mean,independent_eer_std,seed_top1_counts,descriptive_p_values
lfw_scrfd,LFW funneled 60-identity subset,359,12,59,0.08333333333333333,0.9830508474576272,0.008474576271186418,0.5310734463276835,0.025890258163592295,0.096045197740113,0.009785597782875018,0.5139327779373745,0.01883394469238714,0.4912686183872624,0.033971182808038736,5|6|6,0.551905|0.368658|0.368658
lfw_yunet,LFW funneled 60-identity subset,360,12,60,0.08333333333333333,1.0,0.0,0.5111111111111112,0.08221471437193745,0.06666666666666667,0.028867513459481287,0.4961531986531986,0.009716754770309515,0.5123737373737374,0.009101424894414192,5|5|2,0.567175|0.567175|0.965122
lfw_large_yunet,LFW funneled 150-identity subset,1500,30,270,0.03333333333333333,1.0,0.003767560664112363,0.7604938271604939,0.026276292165176234,0.03827160493827161,0.00932078325342068,0.5034703498730745,0.010335632065059233,0.5007449978714347,0.011646209494037092,10|13|8,0.412579|0.120514|0.680081
olivetti_yunet,Olivetti faces full dataset,400,8,72,0.125,1.0,0.0,0.6157407407407408,0.07649403537897362,0.11574074074074074,0.016037507477489603,0.49689520870076426,0.008902734498107618,0.4990079365079365,0.011904761904761862,9|7|9,0.553225|0.811288|0.553225
cfp_frontal_yunet,CFP frontal full dataset,4999,100,900,0.01,0.9988888888888889,0.0021941638608305347,0.91,0.004843221048378507,0.011481481481481481,0.0016972502573910522,0.5006573762314503,0.0003419450469683936,0.5004096520763187,0.0026729709289428356,12|10|9,0.196014|0.412591|0.545010
cfp_profile_yunet,CFP profile full dataset,1983,100,295,0.01,0.9491525423728814,0.024961479198767345,0.631638418079096,0.012833691176949736,0.010169491525423728,0.0,0.49955167881051254,0.004991248346722223,0.49558294812532105,0.00864445756499325,3|3|3,0.566603|0.566603|0.566603
