source_metrics,metrics_sha256,config_sha256,embedding_manifest_sha256,git_commit,stage,dataset,scheme,split_seed,key_seed,set_seed,test_identities,condition,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,identity_pairing_available
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_2,10,mean_mlp,377,0.665625,0.88125,0.9632762419871794,0.11562499999999999,0.6375,0.346875,0.525,0.8,57,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_2,10,mean_mlp,387,0.6,0.921875,0.9608854166666666,0.09859775641025639,0.58125,0.328125,0.44992187500000014,0.746875,54,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,1,single_mlp,367,0.0375,0.1625,0.5831189903846153,0.4374599358974359,0.03125,0.00625,0.0,0.084375,23,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,1,single_mlp,377,0.03125,0.23125,0.5920062099358974,0.4350160256410256,0.025,0.00625,0.0,0.078125,24,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,1,single_mlp,387,0.04375,0.20625,0.6244491185897436,0.38433493589743595,0.03125,0.01875,0.0,0.10625,23,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,10,mean_mlp,367,0.525,0.878125,0.9496667167467948,0.10604967948717947,0.503125,0.175,0.378125,0.6625781249999996,76,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,10,mean_mlp,377,0.575,0.834375,0.9183320813301282,0.17504006410256412,0.48125,0.28125,0.43125,0.7125781249999996,68,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_3,10,mean_mlp,387,0.54375,0.784375,0.9251319611378206,0.1655849358974359,0.525,0.240625,0.403125,0.6875,60,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,1,single_mlp,367,0.01875,0.184375,0.5734327423878205,0.4462339743589744,0.0125,0.0,0.0,0.05625,24,False
results/fei_key_pool_boundary/metrics.json,465bfffb1f4b2ce9bedd6eb43bc17bd482790a5bfe61feba62a6728df1364a6c,98f90bca4f30eb60fa3e6cb9723a91cbc69e5532d5d06e77f85fc41ce223347e,c0ecb4c4b29c0492aa08b2507e41690bda0b86070e20ea03a72e56d954b4cdfb,d1e4ceb3f975fb47d9a8321c47484bb1411f5239,exploratory,FEI,biohash,original,90697,90703,40,random_key_pool_4,1,single_mlp,377,0.034375,0.134375,0.5818815104166666,0.4344150641025641,0.034375,0.0,0.0,0.08445312499999957,24,False
