dataset,arm,key_seeds,candidates,max_development_pairs,chance,top1,lower95,upper95,permutation_p,null_mean,holm_p
MOBIO,naive,3,20,200,0.03333333333333333,0.1313131313131313,0.1121212121212121,0.15154040404040411,0.0002,0.033289284119450153,0.0008
MOBIO,stricter,3,20,200,0.03333333333333333,0.1626262626262626,0.14444444444444443,0.18080808080808078,0.0002,0.033345456970181916,0.0008
SCface,naive,3,20,200,0.038461538461538464,0.10442612942612942,0.08790521978021976,0.12063492063492062,0.0002,0.03841086288075686,0.0008
SCface,stricter,3,20,200,0.038461538461538464,0.10122100122100122,0.08397435897435898,0.11944673382173383,0.0002,0.0385409499482314,0.0008
