dataset,contrast,gain,lower95,upper95,signflip_p,holm_p
MOBIO,stricter_minus_naive,0.031313131313131314,0.001010101010101011,0.061616161616161604,0.0672,0.1344
SCface,stricter_minus_naive,-0.0032051282051282024,-0.021949786324786322,0.014682539682539686,0.7556,0.7556
