dataset,split_seed,baseline_tar,candidate_tar,tar_difference,tar_lower,tar_upper,candidate_fmr,fmr_upper,margin,fmr_limit,tail_alpha,utility_pass,identity_clusters,key_seeds
MOBIO,92821,0.9401515151515153,0.9515151515151514,0.011363636363636364,-0.023232323232323226,0.048486426767677324,0.006600487634970394,0.009308657697666336,0.03,0.02,0.00625,True,30,12
MOBIO,92831,0.9348232323232323,0.9448484848484848,0.010025252525252524,-0.0202020202020202,0.04547995580808087,0.008719958202716824,0.011550004353883671,0.03,0.02,0.00625,True,30,12
FEI,92821,0.9374053030303031,0.9412499999999999,0.00384469696969697,-0.03708357007575757,0.044205374053030586,0.007430555555555556,0.00929003071581197,0.03,0.02,0.00625,False,40,12
FEI,92831,0.9246401515151514,0.9268939393939394,0.002253787878787879,-0.03609919507575758,0.04066418087121257,0.008914141414141414,0.010871236402486412,0.03,0.02,0.00625,False,40,12
