dataset,split_seed,identities,key_seeds,mean_difference,identity_axis_sd,seed_axis_sd,identity_mean_min,identity_mean_max,negative_identity_fraction,seed_mean_min,seed_mean_max,negative_seed_fraction,baseline_candidate_correlation,mean_threshold_difference
MOBIO,93083,30,12,-0.00808080808080808,0.05651463091433165,0.030477002899025517,-0.11363636363636363,0.13636363636363633,0.43333333333333335,-0.06363636363636363,0.048484848484848485,0.6666666666666666,0.1034175254529897,0.0
MOBIO,93089,30,12,-0.007323232323232324,0.03167501085820558,0.01745366223150552,-0.10606060606060604,0.03787878787878788,0.36666666666666664,-0.03636363636363636,0.018181818181818184,0.5833333333333334,0.352650041033168,0.0026041666666666665
SCface,93083,26,12,0.0022435897435897413,0.06548174024654085,0.046727392202813495,-0.10317460317460318,0.16249999999999998,0.5,-0.09322344322344321,0.08379120879120878,0.5,0.3425274729384294,0.0026041666666666665
SCface,93089,26,12,0.01633089133089133,0.05287557382885854,0.05928296433735164,-0.07142857142857144,0.13095238095238093,0.46153846153846156,-0.040293040293040296,0.15567765567765568,0.4166666666666667,0.3498088728844287,-0.0026041666666666665
