split_seed,camera,distance,aggregation,key_seeds,baseline_tar,candidate_tar,mean_difference,seed_difference_sd,seed_difference_min,seed_difference_max
93083,1,1,camera_distance,12,0.14423076923076925,0.15064102564102563,0.006410256410256413,0.07303703978505034,-0.07692307692307693,0.11538461538461539
93083,1,2,camera_distance,12,0.4551282051282051,0.5096153846153846,0.05448717948717946,0.07417890744815953,-0.03846153846153855,0.1923076923076923
93083,1,3,camera_distance,12,0.6826923076923078,0.7115384615384616,0.028846153846153855,0.10388499662059847,-0.15384615384615385,0.2692307692307693
93083,2,1,camera_distance,12,0.09615384615384615,0.10576923076923078,0.009615384615384614,0.0971971372301933,-0.2692307692307693,0.11538461538461539
93083,2,2,camera_distance,12,0.4519230769230769,0.4134615384615385,-0.03846153846153846,0.09840033062566633,-0.1923076923076923,0.11538461538461536
93083,2,3,camera_distance,12,0.6474358974358975,0.6378205128205129,-0.0096153846153846,0.08055248974481309,-0.15384615384615385,0.15384615384615385
93083,3,1,camera_distance,12,0.05769230769230769,0.09615384615384615,0.038461538461538464,0.0733432760958148,-0.11538461538461539,0.15384615384615385
93083,3,2,camera_distance,12,0.32371794871794873,0.2916666666666667,-0.032051282051282055,0.13102949556184,-0.23076923076923078,0.19230769230769232
93083,3,3,camera_distance,12,0.641025641025641,0.6506410256410257,0.009615384615384609,0.1282196961420203,-0.15384615384615385,0.23076923076923084
93083,4,1,camera_distance,12,0.08012820512820512,0.08974358974358976,0.009615384615384616,0.08220502059796328,-0.11538461538461539,0.15384615384615385
93083,4,2,camera_distance,12,0.36538461538461536,0.4262820512820513,0.060897435897435896,0.1489232767919443,-0.2692307692307692,0.23076923076923078
93083,4,3,camera_distance,12,0.6987179487179488,0.6730769230769232,-0.025641025641025644,0.143285558588373,-0.3076923076923077,0.23076923076923084
93083,5,1,camera_distance,12,0.11217948717948718,0.07371794871794872,-0.03846153846153846,0.06351714029575159,-0.15384615384615385,0.07692307692307693
93083,5,2,camera_distance,12,0.25641025641025644,0.3269230769230769,0.07051282051282053,0.10219923444726287,-0.07692307692307693,0.2692307692307692
93083,5,3,camera_distance,12,0.5576923076923077,0.5288461538461539,-0.02884615384615384,0.13831091263159778,-0.23076923076923078,0.2692307692307692
93083,6,1,camera_distance,12,0.023333333333333334,0.02,-0.0033333333333333322,0.04334498677803327,-0.08,0.04
93083,6,2,camera_distance,12,0.08012820512820512,0.04487179487179488,-0.035256410256410256,0.05303670649624804,-0.11538461538461539,0.07692307692307693
93083,6,3,camera_distance,12,0.16987179487179485,0.17307692307692313,0.0032051282051282124,0.07943170483171474,-0.15384615384615383,0.11538461538461539
93083,7,1,camera_distance,12,0.016666666666666666,0.02666666666666666,0.01,0.034641016151377546,-0.04,0.08
93083,7,2,camera_distance,12,0.07692307692307693,0.06410256410256411,-0.012820512820512824,0.0682788741998919,-0.11538461538461539,0.11538461538461539
93083,7,3,camera_distance,12,0.18000000000000002,0.14333333333333334,-0.03666666666666666,0.10438855156083783,-0.24000000000000002,0.12
93083,all,1,distance,12,0.0763888888888889,0.08101851851851853,0.004629629629629629,0.03323498397953149,-0.07222222222222222,0.03888888888888889
93083,all,2,distance,12,0.287087912087912,0.2967032967032967,0.00961538461538461,0.06123466650152112,-0.10439560439560439,0.10989010989010986
93083,all,3,distance,12,0.5128913443830571,0.5046040515653775,-0.008287292817679556,0.061046826033304524,-0.10497237569060769,0.11602209944751385
93089,1,1,camera_distance,12,0.15064102564102563,0.22115384615384617,0.07051282051282053,0.07303703978505034,-0.038461538461538464,0.23076923076923078
