stage,dataset,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters
pilot,FEI,IoM-GRP,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.2125,0.090625,0.3282031249999996,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.8,0.684375,0.90625,0.95,2000,40
pilot,MOBIO,PolyProtect,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.004166666666666667,-0.0125,0.025,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_4,10,mean_mlp,91223,ten_minus_one,0.3,0.16666666666666666,0.44166666666666665,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_4,10,mean_mlp,91223,reuse_minus_fresh,0.30833333333333335,0.16666666666666666,0.45416666666666666,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.38333333333333336,0.2375,0.5333333333333333,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.39166666666666666,0.2373958333333335,0.5541666666666667,0.95,2000,30
pilot,FEI,PolyProtect,random_key_pool_4,1,single_mlp,91223,reuse_minus_fresh,0.0125,0.0,0.034375,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_4,10,mean_mlp,91223,ten_minus_one,0.58125,0.446875,0.715625,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_4,10,mean_mlp,91223,reuse_minus_fresh,0.590625,0.4592968750000001,0.7188281249999996,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_4,10,deepsets,91223,ten_minus_one,0.590625,0.45,0.7219531249999996,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_4,10,deepsets,91223,reuse_minus_fresh,0.596875,0.45,0.734375,0.95,2000,40
pilot,MOBIO,IoM-GRP,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.24166666666666667,0.15,0.3333333333333333,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.3,0.12916666666666668,0.4625,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,reuse_minus_fresh,0.5041666666666667,0.31666666666666665,0.675,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_8,10,deepsets,91223,ten_minus_one,0.16666666666666666,0.025,0.31666666666666665,0.95,2000,30
pilot,MOBIO,IoM-GRP,random_key_pool_8,10,deepsets,91223,reuse_minus_fresh,0.4041666666666667,0.20833333333333334,0.5875,0.95,2000,30
pilot,FEI,IoM-GRP,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.271875,0.2,0.346875,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.54375,0.434375,0.65,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_8,10,mean_mlp,91223,reuse_minus_fresh,0.8125,0.690625,0.91875,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_8,10,deepsets,91223,ten_minus_one,0.296875,0.178125,0.421875,0.95,2000,40
pilot,FEI,IoM-GRP,random_key_pool_8,10,deepsets,91223,reuse_minus_fresh,0.5625,0.4125,0.7032031249999996,0.95,2000,40
pilot,MOBIO,PolyProtect,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.004166666666666667,-0.020833333333333332,0.03333333333333333,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.016666666666666666,-0.041666666666666664,0.08343749999999943,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_8,10,mean_mlp,91223,reuse_minus_fresh,0.025,0.0,0.075,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_8,10,deepsets,91223,ten_minus_one,0.0,-0.0375,0.05,0.95,2000,30
pilot,MOBIO,PolyProtect,random_key_pool_8,10,deepsets,91223,reuse_minus_fresh,0.008333333333333333,0.0,0.025,0.95,2000,30
pilot,FEI,PolyProtect,random_key_pool_8,1,single_mlp,91223,reuse_minus_fresh,0.025,-0.003125,0.065625,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_8,10,mean_mlp,91223,ten_minus_one,0.009375,-0.021875,0.046875,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_8,10,mean_mlp,91223,reuse_minus_fresh,0.03125,-0.01875,0.09375,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_8,10,deepsets,91223,ten_minus_one,-0.00625,-0.040625,0.03125,0.95,2000,40
pilot,FEI,PolyProtect,random_key_pool_8,10,deepsets,91223,reuse_minus_fresh,0.0125,0.0,0.0375,0.95,2000,40
