stage,dataset,scheme,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
pilot,MOBIO,IoM-GRP,independent_unseen_keys,30,0.03333333333333333,91217,91219,430b90d88c5b3787e699b88d279b3977ede407bc6b483b47da11eea63d1290b0,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.03333333333333333,0.16666666666666666,0.49789032567049807,0.4992097701149425,0.0,0.0,0.0,0.1,10,5.372535943984985,1.0
pilot,FEI,IoM-GRP,independent_unseen_keys,40,0.025,91217,91219,ae3f34745ddc413ed7c340a7c8f900f50cc96825ac3755f06cdb935b22a77522,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.01875,0.134375,0.5199346454326923,0.4778044871794872,0.009375,0.0,0.0,0.04375,4,0.7616763114929199,1.0
pilot,FEI,IoM-GRP,independent_unseen_keys,40,0.025,91217,91219,ae3f34745ddc413ed7c340a7c8f900f50cc96825ac3755f06cdb935b22a77522,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.021875,0.125,0.5131442808493589,0.49759615384615385,0.0,0.0,0.0,0.065625,7,1.2659800052642822,1.0
pilot,FEI,IoM-GRP,independent_unseen_keys,40,0.025,91217,91219,ae3f34745ddc413ed7c340a7c8f900f50cc96825ac3755f06cdb935b22a77522,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.025,0.125,0.5004374499198718,0.49727564102564104,0.0,0.0,0.0,0.075,13,7.586712837219238,1.0
pilot,MOBIO,PolyProtect,independent_unseen_keys,30,0.03333333333333333,91217,91219,e14ab8fd8c002775f446c77b319058c1d5e28c8260e015b98d315b34629c3842,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.0375,0.14583333333333334,0.4846006944444445,0.5083333333333333,0.008333333333333333,0.004166666666666667,0.008333333333333333,0.075,13,0.24904108047485352,1.0
pilot,MOBIO,PolyProtect,independent_unseen_keys,30,0.03333333333333333,91217,91219,e14ab8fd8c002775f446c77b319058c1d5e28c8260e015b98d315b34629c3842,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.03333333333333333,0.19583333333333333,0.5184375,0.46314655172413793,0.03333333333333333,0.029166666666666667,0.0,0.1,10,0.24457168579101562,1.0
pilot,MOBIO,PolyProtect,independent_unseen_keys,30,0.03333333333333333,91217,91219,e14ab8fd8c002775f446c77b319058c1d5e28c8260e015b98d315b34629c3842,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.03333333333333333,0.13333333333333333,0.4940331657088123,0.4942528735632184,0.03333333333333333,0.0,0.0,0.1,13,0.9977498054504395,1.0
pilot,FEI,PolyProtect,independent_unseen_keys,40,0.025,91217,91219,b443d1bdbbba64792804f7c363ff7b01fb74809dff4095d421005c243c187f0e,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,1,single_mlp,419,0.01875,0.115625,0.5028876201923077,0.5094551282051283,0.0125,0.003125,0.0,0.05625,19,0.33959126472473145,1.0
pilot,FEI,PolyProtect,independent_unseen_keys,40,0.025,91217,91219,b443d1bdbbba64792804f7c363ff7b01fb74809dff4095d421005c243c187f0e,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,mean_mlp,419,0.021875,0.146875,0.5054086538461539,0.4960737179487179,0.01875,0.0,0.0,0.053125,12,0.3160977363586426,1.0
pilot,FEI,PolyProtect,independent_unseen_keys,40,0.025,91217,91219,b443d1bdbbba64792804f7c363ff7b01fb74809dff4095d421005c243c187f0e,d5f4e8901db4bd4ddda5a2dd7e9610211921846e,10,deepsets,419,0.025,0.125,0.49730769230769234,0.5056891025641026,0.0,0.0,0.0,0.075,15,1.4028453826904297,1.0
