condition,unique_keys,one_record_top1_mean,top1_mean,top1_std,auroc_mean,eer_mean,minimum_clustered_lower,maximum_clustered_upper
random_key_pool_1,1,0.745833,0.768750,0.048513,0.970031,0.092521,0.587500,0.921875
random_key_pool_2,2,0.363542,0.634375,0.032924,0.960662,0.112019,0.449922,0.800000
random_key_pool_3,3,0.037500,0.547917,0.025259,0.931044,0.148892,0.378125,0.712578
random_key_pool_4,4,0.034375,0.475000,0.021875,0.932271,0.138835,0.315625,0.646875
random_key_pool_5,5,0.028125,0.375000,0.068750,0.926078,0.144538,0.181250,0.584375
random_key_pool_7,7,0.023958,0.236458,0.036622,0.871526,0.218750,0.109375,0.415625
random_key_pool_10,10,0.030208,0.039583,0.001804,0.574674,0.459762,0.000000,0.106250
independent_unseen_keys,2378,0.022917,0.017708,0.007864,0.501736,0.503272,0.000000,0.075000
