dataset,scheme,split_seed,key_seed,model_seed,model,exposures,top1,chance,best_epoch,best_validation_loss,training_seconds
MOBIO,IoM-GRP,91831,91901,601,single_mlp,1,0.5375,0.03333333333333333,119,0.7883590459823608,3.2030000000013388
MOBIO,IoM-GRP,91831,91901,601,prediction_mean,10,0.9041666666666667,0.03333333333333333,119,0.7883590459823608,0
MOBIO,IoM-GRP,91831,91901,601,mean_mlp,10,0.875,0.03333333333333333,120,0.6651729941368103,3.0469999999986612
MOBIO,IoM-GRP,91831,91901,607,single_mlp,1,0.6083333333333333,0.03333333333333333,116,0.7854759693145752,1.9380000000019209
MOBIO,IoM-GRP,91831,91901,607,prediction_mean,10,0.9666666666666667,0.03333333333333333,116,0.7854759693145752,0
MOBIO,IoM-GRP,91831,91901,607,mean_mlp,10,0.9625,0.03333333333333333,120,0.6706399321556091,2.7809999999990396
MOBIO,IoM-GRP,91831,91901,613,single_mlp,1,0.5,0.03333333333333333,110,0.7849713563919067,1.889999999999418
MOBIO,IoM-GRP,91831,91901,613,prediction_mean,10,0.9666666666666667,0.03333333333333333,110,0.7849713563919067,0
MOBIO,IoM-GRP,91831,91901,613,mean_mlp,10,0.9541666666666667,0.03333333333333333,119,0.666263222694397,2.875
MOBIO,IoM-GRP,91831,91907,601,single_mlp,1,0.5875,0.03333333333333333,119,0.792933464050293,2.077999999997701
MOBIO,IoM-GRP,91831,91907,601,prediction_mean,10,0.9458333333333333,0.03333333333333333,119,0.792933464050293,0
MOBIO,IoM-GRP,91831,91907,601,mean_mlp,10,0.9333333333333333,0.03333333333333333,119,0.6721571087837219,2.8590000000003783
MOBIO,IoM-GRP,91831,91907,607,single_mlp,1,0.6083333333333333,0.03333333333333333,115,0.7890698313713074,1.9840000000003783
MOBIO,IoM-GRP,91831,91907,607,prediction_mean,10,0.9291666666666667,0.03333333333333333,115,0.7890698313713074,0
MOBIO,IoM-GRP,91831,91907,607,mean_mlp,10,0.9541666666666667,0.03333333333333333,120,0.6688843965530396,2.938000000001921
MOBIO,IoM-GRP,91831,91907,613,single_mlp,1,0.6458333333333334,0.03333333333333333,109,0.7914459705352783,2.0469999999986612
MOBIO,IoM-GRP,91831,91907,613,prediction_mean,10,0.9708333333333333,0.03333333333333333,109,0.7914459705352783,0
MOBIO,IoM-GRP,91831,91907,613,mean_mlp,10,1.0,0.03333333333333333,120,0.6645947694778442,3.1560000000026776
MOBIO,IoM-GRP,91831,91909,601,single_mlp,1,0.5583333333333333,0.03333333333333333,119,0.7932912111282349,2.2969999999986612
MOBIO,IoM-GRP,91831,91909,601,prediction_mean,10,0.9291666666666667,0.03333333333333333,119,0.7932912111282349,0
MOBIO,IoM-GRP,91831,91909,601,mean_mlp,10,1.0,0.03333333333333333,114,0.664710521697998,2.9060000000026776
MOBIO,IoM-GRP,91831,91909,607,single_mlp,1,0.5416666666666666,0.03333333333333333,119,0.7879884839057922,1.9679999999971187
MOBIO,IoM-GRP,91831,91909,607,prediction_mean,10,0.9666666666666667,0.03333333333333333,119,0.7879884839057922,0
MOBIO,IoM-GRP,91831,91909,607,mean_mlp,10,1.0,0.03333333333333333,118,0.6571115851402283,2.952999999997701
MOBIO,IoM-GRP,91831,91909,613,single_mlp,1,0.6291666666666667,0.03333333333333333,120,0.7843534350395203,2.0159999999996217
MOBIO,IoM-GRP,91831,91909,613,prediction_mean,10,0.9958333333333333,0.03333333333333333,120,0.7843534350395203,0
MOBIO,IoM-GRP,91831,91909,613,mean_mlp,10,1.0,0.03333333333333333,118,0.6575311422348022,2.9070000000028813
MOBIO,PolyProtect,91831,91901,601,single_mlp,1,0.029166666666666667,0.03333333333333333,16,0.8954134583473206,0.25
MOBIO,PolyProtect,91831,91901,601,prediction_mean,10,0.03333333333333333,0.03333333333333333,16,0.8954134583473206,0
MOBIO,PolyProtect,91831,91901,601,mean_mlp,10,0.0125,0.03333333333333333,12,0.892275333404541,0.23400000000037835
MOBIO,PolyProtect,91831,91901,607,single_mlp,1,0.075,0.03333333333333333,17,0.8930384516716003,0.26599999999962165
MOBIO,PolyProtect,91831,91901,607,prediction_mean,10,0.06666666666666667,0.03333333333333333,17,0.8930384516716003,0
MOBIO,PolyProtect,91831,91901,607,mean_mlp,10,0.0875,0.03333333333333333,12,0.8912264108657837,0.2819999999992433
MOBIO,PolyProtect,91831,91901,613,single_mlp,1,0.041666666666666664,0.03333333333333333,16,0.8963930010795593,0.2649999999994179
MOBIO,PolyProtect,91831,91901,613,prediction_mean,10,0.06666666666666667,0.03333333333333333,16,0.8963930010795593,0
MOBIO,PolyProtect,91831,91901,613,mean_mlp,10,0.0375,0.03333333333333333,12,0.8880661129951477,0.21900000000096043
MOBIO,PolyProtect,91831,91907,601,single_mlp,1,0.5833333333333334,0.03333333333333333,68,0.8129746913909912,0.4850000000005821
MOBIO,PolyProtect,91831,91907,601,prediction_mean,10,0.9083333333333333,0.03333333333333333,68,0.8129746913909912,0
MOBIO,PolyProtect,91831,91907,601,mean_mlp,10,0.6583333333333333,0.03333333333333333,120,0.7837818264961243,0.6559999999990396
MOBIO,PolyProtect,91831,91907,607,single_mlp,1,0.5875,0.03333333333333333,77,0.8125685453414917,0.5469999999986612
MOBIO,PolyProtect,91831,91907,607,prediction_mean,10,0.9041666666666667,0.03333333333333333,77,0.8125685453414917,0
MOBIO,PolyProtect,91831,91907,607,mean_mlp,10,0.85,0.03333333333333333,120,0.7847897410392761,0.6410000000032596
MOBIO,PolyProtect,91831,91907,613,single_mlp,1,0.5166666666666667,0.03333333333333333,67,0.8133841156959534,0.46899999999732245
MOBIO,PolyProtect,91831,91907,613,prediction_mean,10,0.8375,0.03333333333333333,67,0.8133841156959534,0
MOBIO,PolyProtect,91831,91907,613,mean_mlp,10,0.7833333333333333,0.03333333333333333,120,0.7752271890640259,0.625
MOBIO,PolyProtect,91831,91909,601,single_mlp,1,0.05416666666666667,0.03333333333333333,16,0.8930365443229675,0.23400000000037835
MOBIO,PolyProtect,91831,91909,601,prediction_mean,10,0.05,0.03333333333333333,16,0.8930365443229675,0
MOBIO,PolyProtect,91831,91909,601,mean_mlp,10,0.6916666666666667,0.03333333333333333,120,0.8123501539230347,0.6869999999980791
MOBIO,PolyProtect,91831,91909,607,single_mlp,1,0.03333333333333333,0.03333333333333333,16,0.895050585269928,0.21900000000096043
MOBIO,PolyProtect,91831,91909,607,prediction_mean,10,0.05,0.03333333333333333,16,0.895050585269928,0
MOBIO,PolyProtect,91831,91909,607,mean_mlp,10,0.6708333333333333,0.03333333333333333,120,0.8276740908622742,0.6090000000003783
MOBIO,PolyProtect,91831,91909,613,single_mlp,1,0.041666666666666664,0.03333333333333333,15,0.8997244238853455,0.25
MOBIO,PolyProtect,91831,91909,613,prediction_mean,10,0.03333333333333333,0.03333333333333333,15,0.8997244238853455,0
MOBIO,PolyProtect,91831,91909,613,mean_mlp,10,0.5333333333333333,0.03333333333333333,120,0.8125247359275818,0.7649999999994179
FEI,IoM-GRP,91831,91901,601,single_mlp,1,0.740625,0.025,115,0.7080853581428528,2.2659999999996217
FEI,IoM-GRP,91831,91901,601,prediction_mean,10,0.996875,0.025,115,0.7080853581428528,0
FEI,IoM-GRP,91831,91901,601,mean_mlp,10,0.975,0.025,113,0.5712025165557861,3.6719999999986612
FEI,IoM-GRP,91831,91901,607,single_mlp,1,0.690625,0.025,120,0.7094322443008423,2.437000000001717
FEI,IoM-GRP,91831,91901,607,prediction_mean,10,0.996875,0.025,120,0.7094322443008423,0
FEI,IoM-GRP,91831,91901,607,mean_mlp,10,0.978125,0.025,120,0.5724367499351501,3.6559999999990396
FEI,IoM-GRP,91831,91901,613,single_mlp,1,0.740625,0.025,118,0.7108730673789978,2.5
FEI,IoM-GRP,91831,91901,613,prediction_mean,10,0.975,0.025,118,0.7108730673789978,0
