stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,input_dimension,zero_rows,constant_columns,native_top1,native_auroc
bounded_validation,SCface,IoM-GRP,91843,random_key_pool_4,26,0.038461538461538464,92101,92107,59c40900194319b3011a0e019160ae101e7726e0687e5f446c061a758aa984f2,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.21100917431192662,0.6194892012456864
bounded_validation,MOBIO,PolyProtect,91831,random_key_pool_4,30,0.03333333333333333,92101,92107,d50e492f1df57d0fd60cfe3afa28c483360b9581be5796d4a75cf2c1961ac29d,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.2545454545454545,0.5598210949621608
bounded_validation,SCface,PolyProtect,91831,random_key_pool_4,26,0.038461538461538464,92101,92107,e9c8d888ae412ef3a08a1b86b3290d7fe8d24d647bc42231ddef27222a321465,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.2088724584103512,0.5418266303586499
bounded_validation,MOBIO,PolyProtect,91843,random_key_pool_4,30,0.03333333333333333,92101,92107,2aa30db54701ce15bf9d558964610f6c9676bc8dc193d337d7c41132a0f2b4d8,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.2613981762917933,0.5637955405386893
bounded_validation,SCface,PolyProtect,91843,random_key_pool_4,26,0.038461538461538464,92101,92107,5bf6401055656ee205cc4a28b7e9cb0a7960069ea8dbb6a124dccc91a8f060d2,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.1889908256880734,0.5145522430771821
bounded_validation,MOBIO,IoM-GRP,91831,random_key_pool_8,30,0.03333333333333333,92101,92107,c85bc87994072569f85740a8be162b001cd5db0b5aa33438c12967666c051206,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.1303030303030303,0.5448041543966309
bounded_validation,SCface,IoM-GRP,91831,random_key_pool_8,26,0.038461538461538464,92101,92107,8c77948186d8ab6978891450798cd5e720fd00b03b1f5cb60887a4795b51f8f9,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.14417744916820702,0.5560561840365449
bounded_validation,MOBIO,IoM-GRP,91843,random_key_pool_8,30,0.03333333333333333,92101,92107,1df847973a550e134217013f1d71a7f383882477fe1faa03c3c08d0fc33fc7c9,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.1702127659574468,0.553971358294024
bounded_validation,SCface,IoM-GRP,91843,random_key_pool_8,26,0.038461538461538464,92101,92107,3fbae4d959bb93c63eefb080e08425cd6db13ea6ac1ef1d048e9f10b1bc84536,02d0811437074f99181cd743a47339c7185bc5fa,4800,0,0,0.12110091743119267,0.5588846730073227
bounded_validation,MOBIO,PolyProtect,91831,random_key_pool_8,30,0.03333333333333333,92101,92107,d0c08c78c09868ce51253d3e4c31b669122d3d4550da5dec50cd06292385f958,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.21515151515151515,0.5615683480573763
bounded_validation,SCface,PolyProtect,91831,random_key_pool_8,26,0.038461538461538464,92101,92107,81996a40a8081b54c1ed9820562f0389a38c5a41244cad1d16043525b1fe91e0,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.2199630314232902,0.5540093138946498
bounded_validation,MOBIO,PolyProtect,91843,random_key_pool_8,30,0.03333333333333333,92101,92107,077755eab8ec8d36fd04f01e23302fbf5cbe1842cc294cedcaf70902ca62d70c,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.2826747720364742,0.6229744672568143
bounded_validation,SCface,PolyProtect,91843,random_key_pool_8,26,0.038461538461538464,92101,92107,6b468cd17d8f6e6e2bfb570116839c6d0c0a6ac4311be5e8d2073b6c830e0230,02d0811437074f99181cd743a47339c7185bc5fa,170,0,0,0.24036697247706423,0.5917376651796987
