stage,dataset,scheme,split_seed,chance,condition,exposures,model,model_seeds,identity_clusters,top1_mean,seed_sd,lower95,upper95
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,5,deepsets,3,30,0.03333333333333333,0.0,0.0,0.1
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,10,mean_mlp,3,30,0.029166666666666667,0.004166666666666666,0.0,0.08472222222222223
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,10,deepsets,3,30,0.03333333333333333,0.0,0.0,0.1
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,1,single_mlp,3,30,0.9819444444444444,0.004811252243246928,0.9486111111111111,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,2,mean_mlp,3,30,0.9958333333333333,1.3597399555105182e-16,0.9875,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,2,deepsets,3,30,0.9333333333333333,0.0356000156054897,0.8527777777777777,0.9875
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,5,mean_mlp,3,30,1.0,0.0,1.0,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,5,deepsets,3,30,0.8944444444444445,0.04046889523425965,0.7930555555555555,0.9722222222222222
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,10,mean_mlp,3,30,1.0,0.0,1.0,1.0
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,10,deepsets,3,30,0.9180555555555555,0.050057836919278044,0.8083333333333333,0.9972569444444442
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,1,single_mlp,3,30,0.6375,0.022047927592204905,0.5444097222222222,0.7236111111111111
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,2,mean_mlp,3,30,0.7833333333333333,0.004166666666666652,0.6874652777777778,0.8666666666666667
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,2,deepsets,3,30,0.6527777777777778,0.08388704928078615,0.5263888888888889,0.7680902777777776
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,5,mean_mlp,3,30,0.8972222222222223,0.021381672664361986,0.7972222222222223,0.9708680555555553
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,5,deepsets,3,30,0.7,0.12936812246883353,0.5277083333333333,0.8458680555555553
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,10,mean_mlp,3,30,0.9097222222222222,0.021381672664362,0.8069444444444445,0.9888888888888889
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,10,deepsets,3,30,0.6458333333333334,0.14619003994040697,0.44437499999999996,0.8222222222222222
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,1,single_mlp,3,30,0.2708333333333333,0.022047927592204922,0.18888888888888888,0.3555902777777776
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,2,mean_mlp,3,30,0.46111111111111114,0.018788540636762077,0.35413194444444446,0.5666666666666667
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,2,deepsets,3,30,0.34444444444444444,0.037345360165968754,0.24996527777777777,0.44864583333333313
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,5,mean_mlp,3,30,0.6861111111111111,0.06512985604274085,0.5458333333333333,0.8194444444444444
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,5,deepsets,3,30,0.40555555555555556,0.033420026154211004,0.294375,0.525
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,10,mean_mlp,3,30,0.7236111111111111,0.04494080468712066,0.5735763888888888,0.8528124999999998
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,10,deepsets,3,30,0.41388888888888886,0.08802751043050458,0.2625,0.5597569444444442
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,1,single_mlp,3,30,0.03194444444444444,0.013393959390267992,0.0,0.08611111111111111
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,2,mean_mlp,3,30,0.02638888888888889,0.012028130608117204,0.0,0.075
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,2,deepsets,3,30,0.03194444444444444,0.00240562612162344,0.0,0.09447916666666648
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,5,mean_mlp,3,30,0.044444444444444446,0.004811252243246885,0.0,0.11531249999999982
