stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,607,0.03333333333333333,0.16666666666666666,0.5007471264367815,0.4908045977011495,0.0,0.0,0.0,0.1,8,0.37895655632019043,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,613,0.03333333333333333,0.16666666666666666,0.49839439655172413,0.5053160919540229,0.0,0.0,0.0,0.1,9,1.6433064937591553,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,601,0.03333333333333333,0.16666666666666666,0.5087559865900383,0.5042385057471264,0.0,0.0,0.0,0.1,6,0.3507504463195801,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,607,0.03333333333333333,0.19583333333333333,0.5001915708812261,0.5210488505747126,0.03333333333333333,0.0,0.0,0.1,6,0.38706302642822266,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,613,0.05,0.16666666666666666,0.4882046216475096,0.5040948275862069,0.0,0.0,0.0,0.13333333333333333,7,0.357036828994751,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,601,0.03333333333333333,0.16666666666666666,0.4971827107279694,0.49540229885057474,0.016666666666666666,0.0,0.0,0.1,14,0.8040866851806641,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,607,0.03333333333333333,0.16666666666666666,0.5017139607279694,0.5099137931034483,0.0,0.0,0.0,0.1,8,0.6312034130096436,1.0
bounded_validation,MOBIO,IoM-GRP,91831,independent_unseen_keys,30,0.03333333333333333,92101,92107,58d9f4f2b54c1f8120797af8cdefd7129cd1b4a1e10c413ce8fb858e636e7b17,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,613,0.03333333333333333,0.16666666666666666,0.49373802681992335,0.5032327586206897,0.0,0.0,0.0,0.1,11,0.6746985912322998,1.0
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,601,0.038461538461538464,0.18269230769230768,0.5095183062130177,0.4903846153846154,0.019230769230769232,0.0,0.0,0.11538461538461539,7,0.4026145935058594,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,607,0.038461538461538464,0.21153846153846154,0.5024140162721893,0.5050961538461538,0.014423076923076924,0.0,0.0,0.11538461538461539,6,0.2498791217803955,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,613,0.038461538461538464,0.14903846153846154,0.47956638313609473,0.5153846153846153,0.004807692307692308,0.0,0.0,0.11538461538461539,6,0.2522261142730713,0.8317307692307693
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,601,0.038461538461538464,0.19230769230769232,0.5038840606508876,0.5001923076923077,0.03365384615384615,0.014423076923076924,0.0,0.11538461538461539,10,0.2874782085418701,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,607,0.038461538461538464,0.19230769230769232,0.498539201183432,0.5111538461538461,0.014423076923076924,0.0,0.0,0.11538461538461539,8,0.27812671661376953,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,613,0.038461538461538464,0.19230769230769232,0.492446375739645,0.5101923076923076,0.0,0.0,0.0,0.11538461538461539,9,0.2819654941558838,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,601,0.038461538461538464,0.19230769230769232,0.5014154955621302,0.4997115384615385,0.004807692307692308,0.0,0.0,0.11538461538461539,23,0.4675259590148926,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,607,0.038461538461538464,0.19230769230769232,0.5005935650887574,0.5000961538461539,0.0,0.0,0.0,0.11538461538461539,21,1.52427339553833,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,2,deepsets,613,0.038461538461538464,0.19230769230769232,0.4991512573964497,0.5052884615384615,0.019230769230769232,0.0,0.0,0.11538461538461539,21,0.48888683319091797,0.9134615384615384
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,601,0.038461538461538464,0.19230769230769232,0.5037666420118343,0.5009615384615385,0.02403846153846154,0.004807692307692308,0.0,0.11538461538461539,19,0.3584005832672119,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,607,0.038461538461538464,0.19230769230769232,0.49819619082840233,0.5000961538461539,0.014423076923076924,0.0,0.0,0.11538461538461539,20,0.3748486042022705,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,mean_mlp,613,0.038461538461538464,0.19230769230769232,0.49877126479289935,0.4975,0.019230769230769232,0.0,0.0,0.11538461538461539,22,0.3729112148284912,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,601,0.038461538461538464,0.19230769230769232,0.5025277366863905,0.5,0.0,0.0,0.0,0.11538461538461539,42,0.6475930213928223,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,607,0.038461538461538464,0.19230769230769232,0.5015772928994082,0.49903846153846154,0.004807692307692308,0.0,0.0,0.11538461538461539,32,0.5500619411468506,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,5,deepsets,613,0.038461538461538464,0.19230769230769232,0.5021680843195266,0.5050961538461538,0.004807692307692308,0.0,0.0,0.11538461538461539,32,0.5604190826416016,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,601,0.038461538461538464,0.19230769230769232,0.5033875739644971,0.4948076923076923,0.03365384615384615,0.004807692307692308,0.0,0.11538461538461539,23,1.6006741523742676,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,607,0.038461538461538464,0.19230769230769232,0.5007313239644969,0.5008653846153845,0.019230769230769232,0.004807692307692308,0.0,0.11538461538461539,19,0.3961315155029297,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,mean_mlp,613,0.038461538461538464,0.19230769230769232,0.5031351701183432,0.49788461538461537,0.028846153846153848,0.009615384615384616,0.0,0.11538461538461539,27,0.4845774173736572,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,601,0.038461538461538464,0.19230769230769232,0.4999759615384616,0.48615384615384616,0.0,0.0,0.0,0.11538461538461539,48,0.9902331829071045,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,607,0.038461538461538464,0.19230769230769232,0.5000758136094674,0.49759615384615385,0.004807692307692308,0.0,0.0,0.11538461538461539,29,0.7865700721740723,0.9230769230769231
bounded_validation,SCface,IoM-GRP,91831,independent_unseen_keys,26,0.038461538461538464,92101,92107,bd7560b92063e64f39b7f9f88c96a3ac68eb4b59533a2cf43fe3db0d48b65401,02d0811437074f99181cd743a47339c7185bc5fa,10,deepsets,613,0.038461538461538464,0.19230769230769232,0.502867973372781,0.513076923076923,0.004807692307692308,0.0,0.0,0.11538461538461539,38,2.118154764175415,0.9230769230769231
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,601,0.041666666666666664,0.16666666666666666,0.5150880028735632,0.4700431034482758,0.016666666666666666,0.0,0.008333333333333333,0.08333333333333333,4,0.4241960048675537,1.0
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,607,0.041666666666666664,0.15,0.5025664511494253,0.5126436781609195,0.016666666666666666,0.0,0.008333333333333333,0.08333333333333333,4,0.25690340995788574,1.0
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,1,single_mlp,613,0.029166666666666667,0.18333333333333332,0.5065361590038314,0.5209051724137931,0.0125,0.0,0.0,0.07083333333333333,6,0.274702787399292,1.0
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,601,0.041666666666666664,0.175,0.5020282567049809,0.4874281609195402,0.004166666666666667,0.0,0.0,0.10416666666666667,5,0.2699618339538574,1.0
bounded_validation,MOBIO,IoM-GRP,91843,independent_unseen_keys,30,0.03333333333333333,92101,92107,8346b122981394df3152a67e92ba2e28b9242537eca4170f5822e310015e43ce,02d0811437074f99181cd743a47339c7185bc5fa,2,mean_mlp,607,0.04583333333333333,0.1625,0.5032261733716474,0.503448275862069,0.020833333333333332,0.0,0.008333333333333333,0.1001041666666661,5,0.28580236434936523,1.0
