stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,SCface,91831,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91831,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.029166666666666667,-0.12083333333333333,0.04593749999999943,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.008333333333333333,-0.016666666666666666,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.0,-0.05,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.025,-0.075,0.008333333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,0.008333333333333333,-0.016666666666666666,0.05,0.95,2000,30,91223
bounded_validation,MOBIO,91843,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.0125,-0.0125,0.05,0.95,2000,30,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,601,ten_minus_one,-0.009615384615384616,-0.04807692307692308,0.02403846153846154,0.95,2000,26,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,607,ten_minus_one,0.009615384615384616,0.0,0.028846153846153848,0.95,2000,26,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,mean_mlp,613,ten_minus_one,0.0,0.0,0.0,0.95,2000,26,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,deepsets,601,ten_minus_one,-0.02403846153846154,-0.07692307692307693,0.009615384615384616,0.95,2000,26,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,deepsets,607,ten_minus_one,-0.004807692307692308,-0.028846153846153848,0.014423076923076924,0.95,2000,26,91223
bounded_validation,SCface,91843,PolyProtect,independent_unseen_keys,10,deepsets,613,ten_minus_one,0.009615384615384616,-0.014423076923076924,0.04326923076923077,0.95,2000,26,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,601,reuse_minus_fresh,0.975,0.9416666666666667,0.9958333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,607,reuse_minus_fresh,0.9458333333333333,0.9041666666666667,0.9833333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,1,single_mlp,613,reuse_minus_fresh,0.95,0.8958333333333334,0.9875,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,601,reuse_minus_fresh,0.9708333333333333,0.925,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,607,reuse_minus_fresh,0.9458333333333333,0.875,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,mean_mlp,613,reuse_minus_fresh,0.9708333333333333,0.9125,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,deepsets,601,reuse_minus_fresh,0.9166666666666666,0.825,0.9833333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,deepsets,607,reuse_minus_fresh,0.9375,0.8625,0.9916666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,2,deepsets,613,reuse_minus_fresh,0.9166666666666666,0.8333333333333334,0.9833333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,mean_mlp,601,reuse_minus_fresh,0.9666666666666667,0.9083333333333333,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,mean_mlp,607,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,mean_mlp,613,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,deepsets,601,reuse_minus_fresh,0.9083333333333333,0.8125,0.9833333333333333,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,deepsets,607,reuse_minus_fresh,0.9291666666666667,0.8291666666666667,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,5,deepsets,613,reuse_minus_fresh,0.8958333333333334,0.7833333333333333,0.975,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,ten_minus_one,0.008333333333333333,0.0,0.020833333333333332,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,601,reuse_minus_fresh,0.9666666666666667,0.9,1.0,0.95,2000,30,91223
bounded_validation,MOBIO,91831,IoM-GRP,random_key_pool_1,10,mean_mlp,607,ten_minus_one,0.008333333333333333,0.0,0.020833333333333332,0.95,2000,30,91223
