stage,dataset,scheme,split_seed,chance,condition,model,model_seeds,identity_clusters,gain,seed_sd,lower95,upper95,primary,signflip_p,holm_p
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,0.005555555555555556,0.015774745405000762,-0.0375,0.058333333333333334,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,independent_unseen_keys,deepsets,3,30,0.0,0.01502313031443329,-0.03333333333333333,0.04583333333333333,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,0.009722222222222222,0.002405626121623441,0.0,0.022222222222222223,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.08472222222222223,0.03757708127352412,-0.1875,-0.013888888888888888,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.325,0.01909406539564935,0.25,0.3972222222222222,True,0.0005,0.004
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.14444444444444443,0.141931941175783,-0.025,0.31527777777777777,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_8,mean_mlp,3,30,0.4027777777777778,0.025115474055590444,0.2708333333333333,0.5222222222222223,False,,
bounded_validation,MOBIO,IoM-GRP,91831,0.03333333333333333,random_key_pool_8,deepsets,3,30,0.12916666666666668,0.07916666666666668,-0.009756944444444443,0.27503472222222203,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,-0.008333333333333333,0.011023963796102461,-0.0528125,0.05,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,independent_unseen_keys,deepsets,3,30,-0.004166666666666667,0.007216878364870322,-0.05277777777777778,0.06527777777777778,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,0.018055555555555554,0.00481125224324688,0.0,0.05138888888888889,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.06388888888888888,0.046085166730658496,-0.16944444444444445,0.011145833333333145,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.2722222222222222,0.019690898442719193,0.17083333333333334,0.3680555555555556,True,0.0005,0.004
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.008333333333333333,0.12423376263229645,-0.1625,0.15281249999999982,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,mean_mlp,3,30,0.4527777777777778,0.04003759807055437,0.3194444444444444,0.5833680555555554,False,,
bounded_validation,MOBIO,IoM-GRP,91843,0.03333333333333333,random_key_pool_8,deepsets,3,30,0.14305555555555555,0.09613479155929007,-0.009722222222222222,0.27923611111111074,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,0.018055555555555554,0.02369266959615553,-0.020833333333333332,0.0625,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,independent_unseen_keys,deepsets,3,30,0.002777777777777778,0.012028130608117204,-0.05,0.06527777777777778,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,-0.0375,0.0375,-0.1125,0.008368055555555367,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_1,deepsets,3,30,-0.1986111111111111,0.08900816650006729,-0.34447916666666667,-0.07357638888888908,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,mean_mlp,3,30,0.5819444444444445,0.07515416254704825,0.44166666666666665,0.7125,True,0.0005,0.004
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_4,deepsets,3,30,0.4708333333333333,0.08749999999999998,0.30833333333333335,0.6236111111111111,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_8,mean_mlp,3,30,0.4861111111111111,0.03849001794597504,0.37635416666666666,0.5847569444444443,False,,
bounded_validation,MOBIO,PolyProtect,91831,0.03333333333333333,random_key_pool_8,deepsets,3,30,0.28194444444444444,0.04376653126830204,0.1375,0.4153124999999998,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,mean_mlp,3,30,-0.006944444444444444,0.019690898442719203,-0.0625,0.029166666666666667,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,independent_unseen_keys,deepsets,3,30,-0.001388888888888889,0.020553678592984365,-0.041666666666666664,0.041666666666666664,False,,
bounded_validation,MOBIO,PolyProtect,91843,0.03333333333333333,random_key_pool_1,mean_mlp,3,30,-0.05694444444444444,0.04376653126830203,-0.14309027777777777,0.0125,False,,
