dataset,candidate,primary,before_leakage,after_leakage,leakage_reduction_lower,leakage_reduction_upper,before_tar,after_tar,tar_difference_lower,tar_difference_upper,before_fmr,after_fmr,after_fmr_upper,utility_margin,fmr_limit,tail_alpha,gate_pass,chance
MOBIO,separated,True,0.2708333333333333,0.034722222222222224,0.004166666666666667,0.47638888888888886,0.9545454545454545,0.9686868686868687,-0.0393939393939394,0.06161616161616161,0.00588645071403692,0.007697666318355973,0.014315569487983282,0.03,0.02,0.008333333333333333,False,0.03333333333333333
MOBIO,partial,False,0.2708333333333333,0.07361111111111111,0.03333333333333333,0.36666666666666664,0.9545454545454545,0.9545454545454545,-0.032323232323232316,0.03030303030303029,0.00588645071403692,0.009404388714733543,0.014629049111807733,0.03,0.02,0.05,False,0.03333333333333333
FEI,separated,True,0.2791666666666667,0.025,0.05,0.46494791666666896,0.957121212121212,0.9567424242424243,-0.056818181818181816,0.06313257575757593,0.009057886557886557,0.008016705516705518,0.01140899378399379,0.03,0.02,0.008333333333333333,False,0.025
FEI,partial,False,0.2791666666666667,0.04479166666666667,0.103125,0.3677604166666659,0.957121212121212,0.9384848484848486,-0.052424242424242415,0.015454545454545455,0.009057886557886557,0.008535353535353537,0.01052836052836053,0.03,0.02,0.05,False,0.025
