dataset,policy,master_seed,model_seed,attacker_top1,best_epoch,threshold,validation_fmr,tar,fmr,genuine_pairs,impostor_pairs
MOBIO,recurring,92603,811,0.4166666666666667,55,0.6562500000000001,0.005538140020898642,0.9575757575757575,0.006060606060606059,330,9570
MOBIO,partial,92603,811,0.06666666666666667,21,0.6562500000000001,0.008150470219435737,0.9363636363636366,0.007523510971786832,330,9570
MOBIO,separated,92603,811,0.03333333333333333,19,0.6562500000000001,0.008881922675026124,0.9727272727272728,0.006374085684430511,330,9570
MOBIO,recurring,92609,821,0.05,21,0.6562500000000001,0.007105538140020898,0.9454545454545454,0.005956112852664576,330,9570
MOBIO,partial,92609,821,0.06666666666666667,20,0.6406250000000001,0.009299895506792059,0.9757575757575759,0.015778474399164057,330,9570
MOBIO,separated,92609,821,0.03333333333333333,18,0.6406250000000001,0.009926854754440962,0.9848484848484849,0.012434691745036574,330,9570
MOBIO,recurring,92617,823,0.3458333333333333,53,0.6562500000000001,0.006478578892371996,0.9606060606060608,0.005642633228840124,330,9570
MOBIO,partial,92617,823,0.0875,22,0.6562500000000001,0.0059561128526645765,0.9515151515151514,0.004911180773249739,330,9570
MOBIO,separated,92617,823,0.0375,23,0.6562500000000001,0.007105538140020898,0.9484848484848485,0.004284221525600836,330,9570
FEI,recurring,92603,811,0.1,25,0.6562500000000001,0.005835543766578249,0.959090909090909,0.008257575757575759,436,17004
FEI,partial,92603,811,0.025,24,0.6562500000000001,0.005953433539640436,0.9477272727272726,0.008951048951048951,436,17004
FEI,separated,92603,811,0.025,24,0.6562500000000001,0.007132331270262305,0.9772727272727273,0.009784382284382285,436,17004
FEI,recurring,92609,821,0.340625,58,0.6562500000000001,0.006719717064544651,0.9375,0.009224941724941725,436,17004
FEI,partial,92609,821,0.053125,25,0.6562500000000001,0.00654288240495137,0.9406818181818182,0.008321678321678322,436,17004
FEI,separated,92609,821,0.025,23,0.6562500000000001,0.007721780135573239,0.9590909090909092,0.00770979020979021,436,17004
FEI,recurring,92617,823,0.396875,52,0.6562500000000001,0.005953433539640436,0.9747727272727271,0.00969114219114219,436,17004
FEI,partial,92617,823,0.05625,23,0.6562500000000001,0.008841732979664015,0.9270454545454546,0.008333333333333335,436,17004
FEI,separated,92617,823,0.025,22,0.6562500000000001,0.008723843206601828,0.9338636363636365,0.006555944055944056,436,17004
