stage,dataset,split_seed,scheme,condition,exposures,model,seed,contrast,estimate,lower,upper,confidence,resamples,identity_clusters,bootstrap_seed
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.29375,0.20617187500000012,0.384375,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.9375,0.8625,1.0,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.29375,0.203125,0.3813281249999996,0.95,2000,40,91223
bounded_validation,FEI,92543,IoM-GRP,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.959375,0.896875,1.0,0.95,2000,40,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.30833333333333335,0.20833333333333334,0.4125,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.3125,0.19166666666666668,0.4166666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,1,single_mlp,719,reuse_minus_fresh,0.32916666666666666,0.22916666666666666,0.43333333333333335,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,701,ten_minus_one,0.4083333333333333,0.2625,0.5541666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,701,reuse_minus_fresh,0.7416666666666667,0.5916666666666667,0.8791666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,709,ten_minus_one,0.425,0.25,0.5916666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,709,reuse_minus_fresh,0.7375,0.5916666666666667,0.8791666666666667,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,719,ten_minus_one,0.35833333333333334,0.21666666666666667,0.48760416666666606,0.95,2000,30,91223
bounded_validation,MOBIO,92531,PolyProtect,random_key_pool_4,10,mean_mlp,719,reuse_minus_fresh,0.6833333333333333,0.525,0.8291666666666667,0.95,2000,30,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,1,single_mlp,701,reuse_minus_fresh,0.478125,0.36875,0.5813281249999996,0.95,2000,40,91223
bounded_validation,FEI,92531,PolyProtect,random_key_pool_4,1,single_mlp,709,reuse_minus_fresh,0.459375,0.34375,0.56875,0.95,2000,40,91223
