stage,dataset,scheme,split_seed,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.6083333333333333,0.9,0.9559476772030652,0.11170977011494254,0.49166666666666664,0.2375,0.5125,0.7001041666666661,115,2.241093158721924,1.0
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.6583333333333333,0.9208333333333333,0.9564367816091954,0.10445402298850573,0.49583333333333335,0.15,0.5708333333333333,0.7458333333333333,120,2.2885096073150635,1.0
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.9916666666666667,1.0,0.9976370929118774,0.026293103448275873,0.9333333333333333,0.825,0.975,1.0,116,3.191230058670044,1.0
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.9583333333333334,0.9833333333333333,0.9947473659003832,0.033333333333333326,0.9333333333333333,0.6875,0.8833333333333333,1.0,120,3.131866455078125,1.0
bounded_validation,MOBIO,IoM-GRP,92543,random_key_pool_4,30,0.03333333333333333,92501,92507,13ae0044d1c563802de685cc757b2f28c59d60945c1ace426104c979da33d4c0,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,719,1.0,1.0,0.998448275862069,0.012859195402298828,0.9375,0.7833333333333333,1.0,1.0,112,3.1670033931732178,1.0
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,701,0.678125,0.946875,0.9689022435897435,0.09058493589743588,0.60625,0.24375,0.584375,0.771875,117,2.8057432174682617,1.0
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,709,0.66875,0.896875,0.9644108072916666,0.11330128205128207,0.628125,0.30625,0.575,0.759375,116,2.799330711364746,1.0
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,1,single_mlp,719,0.690625,0.903125,0.9648492588141026,0.10629006410256409,0.61875,0.328125,0.596875,0.775,117,2.8639955520629883,1.0
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,701,0.95625,1.0,0.9986991686698717,0.015665064102564102,0.975,0.8125,0.8936718750000002,1.0,120,4.075651168823242,1.0
bounded_validation,FEI,IoM-GRP,92543,random_key_pool_4,40,0.025,92501,92507,8f18e9ced318a441dd2ed45e10fbfc0292d8ebe998500367a1ac99c8056c720b,ffab5aae7750a254249970c4154d134d4754b2ad,10,mean_mlp,709,0.9625,1.0,0.9989390524839743,0.012580128205128183,0.95,0.8625,0.9,1.0,116,4.065179347991943,1.0
