stage,dataset,scheme,condition,test_identities,chance,key_seed,set_seed,config_sha256,git_commit,exposures,model,seed,top1,top5,auroc,eer,tar_at_far_1e-2,tar_at_far_1e-3,lower95,upper95,best_epoch,elapsed_seconds,oracle_top1
pilot,SCface,IoM-GRP,random_key_pool_1,26,0.038461538461538464,91817,91819,58b01f364399a6c22253f4783b0b79df46d2b55847a32d12837c3e4638d77dad,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.6105769230769231,0.8461538461538461,0.8972568417159764,0.18240384615384617,0.5192307692307693,0.375,0.5,0.7163461538461539,118,4.387535095214844,0.8509615384615384
pilot,SCface,IoM-GRP,random_key_pool_1,26,0.038461538461538464,91817,91819,58b01f364399a6c22253f4783b0b79df46d2b55847a32d12837c3e4638d77dad,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.9038461538461539,0.9326923076923077,0.9660059171597634,0.06817307692307689,0.8557692307692307,0.5817307692307693,0.7931490384615386,0.9903846153846154,117,1.2925994396209717,0.9230769230769231
pilot,SCface,IoM-GRP,random_key_pool_1,26,0.038461538461538464,91817,91819,58b01f364399a6c22253f4783b0b79df46d2b55847a32d12837c3e4638d77dad,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.7836538461538461,0.9086538461538461,0.9571458949704141,0.1421153846153846,0.7259615384615384,0.4855769230769231,0.6394230769230769,0.9134615384615384,91,2.252988576889038,0.9230769230769231
pilot,SCface,PolyProtect,random_key_pool_1,26,0.038461538461538464,91817,91819,d679d082e7028031d01768da548328b24e3ae9b4b8c0f9fe41f67dfe50485c4e,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.6778846153846154,0.8461538461538461,0.9130833949704142,0.16384615384615384,0.5769230769230769,0.3942307692307692,0.5432692307692307,0.7885817307692301,120,0.7818689346313477,0.8509615384615384
pilot,SCface,PolyProtect,random_key_pool_1,26,0.038461538461538464,91817,91819,d679d082e7028031d01768da548328b24e3ae9b4b8c0f9fe41f67dfe50485c4e,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.8221153846153846,0.9519230769230769,0.9681407174556212,0.09240384615384616,0.7548076923076923,0.5817307692307693,0.6826923076923077,0.9423076923076923,120,0.7911005020141602,0.9230769230769231
pilot,SCface,PolyProtect,random_key_pool_1,26,0.038461538461538464,91817,91819,d679d082e7028031d01768da548328b24e3ae9b4b8c0f9fe41f67dfe50485c4e,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.7884615384615384,0.9230769230769231,0.9528420857988166,0.11471153846153849,0.7211538461538461,0.4855769230769231,0.6442307692307693,0.9182692307692307,120,0.898845911026001,0.9230769230769231
pilot,SCface,IoM-GRP,independent_unseen_keys,26,0.038461538461538464,91817,91819,1b172b0d7ffcc7989a353a48d3c5fb4c2cd348a8b931d7cc2ea1e8093de5e106,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.052884615384615384,0.1971153846153846,0.5089145710059172,0.49509615384615385,0.004807692307692308,0.0,0.004807692307692308,0.1346153846153846,6,0.3759732246398926,0.8509615384615384
pilot,SCface,IoM-GRP,independent_unseen_keys,26,0.038461538461538464,91817,91819,1b172b0d7ffcc7989a353a48d3c5fb4c2cd348a8b931d7cc2ea1e8093de5e106,69a93e4cbd35211d78d38da5331f55832256152e,10,mean_mlp,509,0.038461538461538464,0.19230769230769232,0.5019739275147929,0.49951923076923077,0.028846153846153848,0.004807692307692308,0.0,0.11538461538461539,21,0.36998558044433594,0.9230769230769231
pilot,SCface,IoM-GRP,independent_unseen_keys,26,0.038461538461538464,91817,91819,1b172b0d7ffcc7989a353a48d3c5fb4c2cd348a8b931d7cc2ea1e8093de5e106,69a93e4cbd35211d78d38da5331f55832256152e,10,deepsets,509,0.038461538461538464,0.19230769230769232,0.5001664201183432,0.5070192307692307,0.004807692307692308,0.0,0.0,0.11538461538461539,41,2.2312698364257812,0.9230769230769231
pilot,SCface,PolyProtect,independent_unseen_keys,26,0.038461538461538464,91817,91819,e55f288ff0b85e7b69f9c773f6d32c69d79b1381be14ad95d15f94d1b241f6b9,69a93e4cbd35211d78d38da5331f55832256152e,1,single_mlp,509,0.038461538461538464,0.24519230769230768,0.5053920118343196,0.5046153846153847,0.02403846153846154,0.009615384615384616,0.0,0.09134615384615384,21,0.3234677314758301,0.8509615384615384
